arch,c,seed,d0_eff,d1_eff,br_rho
XAttn,0.3,0,0.9925175476074218,0.9568516540527344,1.2022091703642617
XAttn,0.5,0,0.99767578125,0.97294921875,1.2663393208643583
XAttn,0.7,0,0.9963906860351562,0.9365351104736328,1.40429537345419
XAttn,0.9,0,0.9934257507324219,0.33043144226074217,5.197208942345564
MeanPool,0.3,0,0.9951425170898438,0.9652363586425782,1.5819968470231318
MeanPool,0.5,0,0.99865234375,0.5332520294189453,1.965143244540854
MeanPool,0.7,0,0.9947637939453124,0.36876956939697264,2.9649258073862863
MeanPool,0.9,0,0.9993672180175781,0.9463691711425781,1.7653936026713566
DeepSets,0.3,0,0.9964315795898437,0.9312403869628906,1.5416061380328696
DeepSets,0.5,0,0.999541015625,0.5562210083007812,2.220279397150361
DeepSets,0.7,0,0.9900332641601562,0.38862075805664065,2.8451478734831115
DeepSets,0.9,0,0.9984355163574219,0.9580937194824218,1.8559906560679975
GRU,0.3,0,0.995927734375,0.973955078125,1.139835208267974
GRU,0.5,0,0.989228515625,0.5528909301757813,2.384618548610539
GRU,0.7,0,0.9674061584472656,0.914400405883789,1.2036382106422323
GRU,0.9,0,0.9987870788574219,0.9598691558837891,1.2894036891175928
XAttn,0.3,1,0.9862246704101563,0.8044026947021484,1.4598739781707002
XAttn,0.5,1,0.984619140625,0.9119140625,1.2990414568633786
XAttn,0.7,1,0.9963906860351562,0.9340878295898437,1.4505516753039496
XAttn,0.9,1,0.9965721893310547,0.9977674865722657,0.9992966278408287
MeanPool,0.3,1,0.9728301239013671,0.8841311645507812,1.353743950122283
MeanPool,0.5,1,0.995263671875,0.910888671875,1.3823492903243095
MeanPool,0.7,1,0.9910039520263672,0.36537895202636717,3.036231150801333
MeanPool,0.9,1,0.9915800476074219,0.8147089385986328,1.7833977222849002
DeepSets,0.3,1,0.9834414672851562,0.8929435729980468,1.6342312654722306
DeepSets,0.5,1,0.980751953125,0.8562890625,1.4121448175507982
DeepSets,0.7,1,0.9943535614013672,0.8675057983398438,1.616322779850658
DeepSets,0.9,1,0.99736328125,0.86376953125,1.8542264673164568
GRU,0.3,1,0.9674629211425781,0.8807386016845703,1.2762538174863094
GRU,0.5,1,0.988642578125,0.9913671875,1.0059843783046492
GRU,0.7,1,0.9925352478027344,0.9949414825439453,1.0031048386654884
GRU,0.9,1,0.9863066101074218,0.9905253601074219,1.00037119057495
XAttn,0.3,2,0.9892128753662109,0.8579339599609375,1.4306894597098494
XAttn,0.5,2,0.98974609375,0.99431640625,0.9912024285462886
XAttn,0.7,2,0.9996445465087891,0.9237930297851562,1.3754822641458815
XAttn,0.9,2,0.9996484375,0.9647559356689454,1.6302609780945536
MeanPool,0.3,2,0.707799072265625,0.7002054595947266,1.315036616300789
MeanPool,0.5,2,0.9827734375,0.89318359375,1.3441637087914655
MeanPool,0.7,2,0.9878184509277343,0.8867558288574219,1.6007247300080987
MeanPool,0.9,2,0.996361312866211,0.8581971740722656,2.202612296504749
DeepSets,0.3,2,0.990185546875,0.8688850402832031,1.5911327983967545
DeepSets,0.5,2,0.996201171875,0.916787109375,1.4793361144035977
DeepSets,0.7,2,0.9893907165527344,0.8794686889648438,1.7179231243479638
DeepSets,0.9,2,0.9981893920898437,0.8847402191162109,2.5593771781924026
GRU,0.3,2,0.9873613739013671,0.9551641845703125,1.1331410587690265
GRU,0.5,2,0.988427734375,0.991953125,0.993678314827799
GRU,0.7,2,0.974078140258789,0.8837754058837891,1.3414356568181658
GRU,0.9,2,0.9983651733398438,0.9212851715087891,1.8807009401697994
XAttn,0.3,3,0.7657306671142579,0.7207952117919922,1.4741939372281534
XAttn,0.5,3,0.95458984375,0.79173828125,1.408271070750457
XAttn,0.7,3,0.9437675476074219,0.8169335174560547,1.6474035736737165
XAttn,0.9,3,0.9924589538574219,0.9051659393310547,1.669462216496029
MeanPool,0.3,3,0.9961972045898437,0.8834279632568359,1.6401433292446999
MeanPool,0.5,3,0.97814453125,0.7670899200439453,1.6190964041305131
MeanPool,0.7,3,0.9899922180175781,0.8592617034912109,1.540627505323191
MeanPool,0.9,3,0.9857792663574219,0.6871971130371094,2.568855122572418
DeepSets,0.3,3,0.9858671569824219,0.8043146514892578,1.6530648948903015
DeepSets,0.5,3,0.983310546875,0.881669921875,1.4604612262135144
DeepSets,0.7,3,0.9913731384277343,0.9039824676513671,1.5207475642181403
DeepSets,0.9,3,0.96642578125,0.7096620178222657,2.1150872578763145
GRU,0.3,3,0.9828964233398437,0.9615508270263672,1.1368314041199894
GRU,0.5,3,0.98658203125,0.962412109375,1.1486433516514247
GRU,0.7,3,0.9693612670898437,0.9792324066162109,0.9946925121758929
GRU,0.9,3,0.957935562133789,0.8693417358398438,1.3441737604552706
XAttn,0.3,4,0.9892539215087891,0.907252197265625,1.2900193986342483
XAttn,0.5,4,0.9880859375,0.991318359375,1.0020945822212517
XAttn,0.7,4,0.988173828125,0.931312484741211,1.3687351410089947
XAttn,0.9,4,0.99490234375,0.8106484222412109,1.844903839613008
MeanPool,0.3,4,0.9799551391601562,0.8891702270507813,1.3512309001464293
MeanPool,0.5,4,0.984208984375,0.88087890625,1.3333982903042592
MeanPool,0.7,4,0.992412109375,0.9176542663574219,1.307098771350605
MeanPool,0.9,4,0.9978202819824219,0.8121248626708985,1.9094572598547668
DeepSets,0.3,4,0.989769515991211,0.9398770904541016,1.388459061205067
DeepSets,0.5,4,0.98091796875,0.90888671875,1.3201049889136949
DeepSets,0.7,4,0.9828144836425782,0.879482421875,1.3876505821305398
DeepSets,0.9,4,0.9912812805175781,0.8119316101074219,1.9065323402405348
GRU,0.3,4,0.9780097961425781,0.9259669494628906,1.1765146529858526
GRU,0.5,4,0.98673828125,0.9905859375,0.9872586668238119
GRU,0.7,4,0.994873046875,0.9966230773925782,0.9986922606726258
GRU,0.9,4,0.9965370178222657,0.9282636260986328,1.379632900217802
