method,c,seed,d0_jain,d0_eff,d1_eff,br_rho
SOTO,0.3,0,1.000000024912282,0.7000004577636719,0.7000004577636719,1.0
SOTO,0.3,1,1.000000024912282,0.7000004577636719,0.7000004577636719,0.9999804686329195
SOTO,0.3,2,1.000000024912282,0.7000004577636719,0.7000004577636719,0.999960937265839
SOTO,0.3,3,1.000000024912282,0.7000004577636719,0.7000004577636719,1.0
SOTO,0.3,4,1.000000024912282,0.7000004577636719,0.7000004577636719,1.0
SOTO,0.5,0,0.9999998046877095,0.5000001907348632,0.5000001907348632,1.00000007629391
SOTO,0.5,1,0.9999998046877095,0.5000001907348632,0.5000001907348632,0.9999805449068194
SOTO,0.5,2,0.9999998046877095,0.5000001907348632,0.5000002288818359,0.9999610138147716
SOTO,0.5,3,0.9999998046877095,0.5000001907348632,0.5000001907348632,1.00000007629391
SOTO,0.5,4,0.9999998046877095,0.5000001907348632,0.5000001907348632,1.00000007629391
SOTO,0.7,0,0.9999998643663747,0.30000001907348633,0.30000001907348633,1.00000006357828
SOTO,0.7,1,0.9999998643663747,0.30000001907348633,0.30000001907348633,0.9999805320103886
SOTO,0.7,2,0.9999998643663747,0.30000001907348633,0.30000001907348633,0.9999610004424972
SOTO,0.7,3,0.9999998643663747,0.30000001907348633,0.30000001907348633,1.00000006357828
SOTO,0.7,4,0.9999998643663747,0.30000001907348633,0.30000001907348633,1.00000006357828
SOTO,0.9,0,1.0000001525880537,0.09999995231628418,0.09999995231628418,0.9999999046325226
SOTO,0.9,1,1.0000001525880537,0.09999995231628418,0.09999995231628418,0.9999803734849682
SOTO,0.9,2,1.0000001525880537,0.09999995231628418,0.09999995231628418,0.9999608423374138
SOTO,0.9,3,1.0000001525880537,0.09999995231628418,0.09999995231628418,0.9999999046325226
SOTO,0.9,4,1.0000001525880537,0.09999995231628418,0.09999995231628418,0.9999999046325226
FEN,0.3,0,0.9997912088748728,0.9899569702148437,0.985650405883789,5.8655496326908025
FEN,0.3,1,1.000000024912282,0.7000004577636719,0.7000004577636719,0.9999804686329195
FEN,0.3,2,1.000000024912282,0.7000004577636719,0.7000004577636719,0.9999804684200458
FEN,0.3,3,0.9997992695120039,0.989892578125,0.9860664367675781,5.868952772818446
FEN,0.3,4,0.9998017038964636,0.9899101257324219,0.9865410614013672,5.873227490523383
FEN,0.5,0,0.9999998046877095,0.5000001907348632,0.5000002288818359,1.0146542371680196
FEN,0.5,1,0.9999998046877095,0.5000001907348632,0.5000001907348632,0.9999805449068194
FEN,0.5,2,0.9999998046877095,0.5000001907348632,0.5000002288818359,0.9999610138147716
FEN,0.5,3,0.9995236593704981,0.9850000762939453,0.99,5.949485157762695
FEN,0.5,4,0.9997646380578089,0.983251953125,0.981142578125,5.920410352888318
FEN,0.7,0,0.9999998643663747,0.30000001907348633,0.30000001907348633,1.00000006357828
FEN,0.7,1,0.9999998643663747,0.30000001907348633,0.30000001907348633,0.9999805320103886
FEN,0.7,2,0.9999999690390635,0.8880001068115234,0.894712905883789,5.7445916100963235
FEN,0.7,3,0.9999990845658697,0.929986343383789,0.9355370330810547,5.848254384089438
FEN,0.7,4,0.9999810404114378,0.9719998931884766,0.9789318084716797,5.9539470184716
FEN,0.9,0,0.9992006394884091,1.0,1.0,6.0
FEN,0.9,1,0.9999997374896126,0.9640000915527344,0.9640000915527344,5.979129999217239
FEN,0.9,2,0.9999986161267418,0.9640000915527344,0.931005859375,5.965910450756311
FEN,0.9,3,0.9999977647664356,0.9640000915527344,0.9729826354980469,5.984571640108055
FEN,0.9,4,0.9991711731489517,0.9819998931884766,0.9909999084472656,5.994953971230936
GGF,0.3,0,0.9992006394884091,1.0,0.999976577758789,5.999835443348186
GGF,0.3,1,0.9992006394884091,1.0,0.999976577758789,5.999718255848186
GGF,0.3,2,0.9992006394884091,1.0,0.99994140625,5.999354233370464
GGF,0.3,3,0.9992006394884091,1.0,0.9999824523925781,5.999876582511139
GGF,0.3,4,0.9992006394884091,1.0,0.9999824523925781,5.999876582511139
GGF,0.5,0,0.9992006394884091,1.0,0.999970703125,5.999911667713568
GGF,0.5,1,0.9992006394884091,1.0,0.99998046875,5.999823924309045
GGF,0.5,2,0.9992006394884091,1.0,0.999921875,5.9995300722361815
GGF,0.5,3,0.9992006394884091,1.0,0.999970703125,5.999911667713568
GGF,0.5,4,0.9992006394884091,1.0,0.999970703125,5.999911667713568
GGF,0.7,0,0.9992006394884091,1.0,0.9999726867675781,5.999964596162638
GGF,0.7,1,0.9992006394884091,1.0,0.9999726867675781,5.999847408662638
GGF,0.7,2,0.9992006394884091,1.0,0.9998905944824219,5.99962400965055
GGF,0.7,3,0.9992006394884091,1.0,0.9999726867675781,5.999964596162638
GGF,0.7,4,0.9992006394884091,1.0,0.9999589538574218,5.999946894243957
GGF,0.9,0,0.9992006394884091,1.0,0.9999648284912109,5.999988175305306
GGF,0.9,1,0.9992006394884091,1.0,0.9999648284912109,5.9998709878053065
GGF,0.9,2,0.9992006394884091,1.0,0.9998770141601563,5.9997242385685725
GGF,0.9,3,0.9992006394884091,1.0,0.9999648284912109,5.999988175305306
GGF,0.9,4,0.9992006394884091,1.0,0.9999472045898438,5.9999822629579596
