c,seed,d0_eff,d1_eff,br_rho
0.3,0,0.996474609375,0.8867909749348958,1.2726753942014442
0.5,0,0.9969401041666667,0.8964420572916667,1.5103845514110639
0.7,0,0.9983547973632813,0.9112923177083333,1.6471670288273101
0.9,0,0.998212890625,0.959951171875,1.8518269871909105
0.3,1,0.9970916748046875,0.8703670247395834,1.2358296694929067
0.5,1,0.9943619791666667,0.9107356770833334,1.5561985779165148
0.7,1,0.9929042561848959,0.9302460734049479,1.7132053150021718
0.9,1,0.992646484375,0.9486250813802083,1.8127284260378853
0.3,2,0.99970703125,0.8732692464192708,1.1368261900534544
0.5,2,0.993125,0.8889583333333333,1.4841883191289644
0.7,2,0.9970559692382812,0.9374055989583333,1.7357110558033386
0.9,2,0.9988691202799479,0.9687050374348959,1.8809395315637685
0.3,3,0.9926151529947916,0.8774685668945312,1.1553978918504857
0.5,3,0.9915104166666666,0.915634765625,1.5725991466689577
0.7,3,0.9984641520182291,0.9595084635416666,1.8161876168880875
0.9,3,0.9980605061848958,0.970732421875,1.8910404484354393
0.3,4,0.9971209716796875,0.9018924967447917,1.336040607844701
0.5,4,0.9889615885416667,0.9107194010416667,1.6019078483236733
0.7,4,0.9939479573567709,0.9384720865885416,1.7430177152049606
0.9,4,0.9998301188151042,0.9858085123697916,1.9469935399944955
