regime,c,seed,t6_rho,t12_rho,t24_rho
N6only,0.3,0,1.1600615291780407,1.340800029325611,1.7383895500115956
mixedN,0.3,0,1.0733697977167371,1.2067491167333475,1.5874174506122762
N6only,0.5,0,1.135467974304023,1.3311017414396513,1.9633617999897792
mixedN,0.5,0,1.117883733754741,1.459603119279821,2.6975827849643474
N6only,0.7,0,1.341574024716187,1.5847729661309016,2.973088141930584
mixedN,0.7,0,1.3483066294716584,1.6900926959079765,2.3206781311595535
N6only,0.9,0,1.8024507345041105,2.257879484643688,3.301318850947334
mixedN,0.9,0,1.9988556870559684,2.402895484827896,3.2966862044483705
N6only,0.3,1,1.1354150878799263,1.2985709819097517,1.7419678119185864
mixedN,0.3,1,1.0750658796242125,1.2104710140472652,1.540813030562884
N6only,0.5,1,1.3305950383495637,1.511771357724161,1.8025713441074527
mixedN,0.5,1,1.2323903886169125,1.8543114350655592,2.7729287645484906
N6only,0.7,1,1.5731193832671955,1.8202373636980673,2.8332582748338053
mixedN,0.7,1,1.535893918372401,1.795617222233516,3.1943162720077183
N6only,0.9,1,2.083034500994888,2.7810562715803364,7.456039500740983
mixedN,0.9,1,2.2405928379005884,2.786432180098,3.474842646594148
N6only,0.3,2,1.2014999001902418,1.3697058097555685,1.7261422352667015
mixedN,0.3,2,1.073091916972331,1.2005522214011526,1.6590850165835214
N6only,0.5,2,1.2958224182346738,1.570977589406159,2.1263832176499777
mixedN,0.5,2,1.1580209832443575,1.610115243789474,2.4113828272782842
N6only,0.7,2,1.4083565170849077,1.5924716524929763,1.9805667118570947
mixedN,0.7,2,1.46803202608822,2.2369386388827093,5.007763377951948
N6only,0.9,2,2.280162346614908,2.6124521319840612,4.605811476086316
mixedN,0.9,2,2.6158218580984816,3.1510111929999374,8.075405750450605
N6only,0.3,3,1.082093301179878,1.17176412872106,1.3605521208045215
mixedN,0.3,3,1.074161210220334,1.2080030911215243,1.6145342384341985
N6only,0.5,3,1.2494404581814949,1.462378295230201,2.8576695919775004
mixedN,0.5,3,1.2470677006559816,1.8989741613360156,4.474648038807603
N6only,0.7,3,1.480521315938979,1.7029501761813737,2.129565332800545
mixedN,0.7,3,1.58204253207151,2.3958250672527064,4.901213658397525
N6only,0.9,3,2.3470928217301066,2.6120986697140567,3.4498734739737884
mixedN,0.9,3,3.0086537804371485,3.152650623885657,4.015940724375827
N6only,0.3,4,1.3151691386566802,1.6047094124117012,2.3337015531950183
mixedN,0.3,4,1.072500699678228,1.172681211289078,1.527773912442866
N6only,0.5,4,1.4340550676153327,1.7530703347369114,2.3414340877832824
mixedN,0.5,4,1.1333169727896277,1.79280164103445,2.8936811365182837
N6only,0.7,4,1.4614317045701342,1.775321974492877,2.591690344303314
mixedN,0.7,4,1.50281922489377,2.005993738280762,2.8517337641783884
N6only,0.9,4,2.0261328541604406,2.506475764276863,3.74000155684315
mixedN,0.9,4,2.1599647935490784,2.548003810921335,3.415815913909886
