c,seed,audit_D,br_rho
0.3,0,1,1.3142456061351702
0.3,0,2,1.16145503434961
0.3,0,3,1.0758965388793036
0.5,0,1,1.2362722008003615
0.5,0,2,0.9944040545997085
0.5,0,3,0.9907289521603865
0.7,0,1,1.531535814830753
0.7,0,2,0.9997897920109773
0.7,0,3,0.9989331828910751
0.9,0,1,2.0047301063833025
0.9,0,2,1.2282173105474032
0.9,0,3,1.0020922651269242
0.3,1,1,1.3988152970366285
0.3,1,2,1.1594926800448713
0.3,1,3,1.0837348310910697
0.5,1,1,0.995184258339536
0.5,1,2,0.9884686496605731
0.5,1,3,0.9931774770286281
0.7,1,1,1.4952592344372877
0.7,1,2,0.9996641731287746
0.7,1,3,0.9987847716214375
0.9,1,1,1.394593346040479
0.9,1,2,1.0073697044380618
0.9,1,3,1.0020522196119472
0.3,2,1,1.0000078124616827
0.3,2,2,0.9999960937691585
0.3,2,3,0.9999922235849161
0.5,2,1,1.0000078880738865
0.5,2,2,0.9999961693614374
0.5,2,3,0.9999922382379338
0.7,2,1,1.4237109743165879
0.7,2,2,1.0067559789239777
0.7,2,3,1.0023364595190905
0.9,2,1,1.9083482392143236
0.9,2,2,1.0085480740512054
0.9,2,3,1.0033750464071933
0.3,3,1,1.1426486262817468
0.3,3,2,1.1045677215099308
0.3,3,3,1.0784095570849805
0.5,3,1,1.0031328379000626
0.5,3,2,1.0027705158559979
0.5,3,3,1.0066503557994169
0.7,3,1,1.6288638062870229
0.7,3,2,1.0085849036972743
0.7,3,3,1.002851752740486
0.9,3,1,1.3949433848005537
0.9,3,2,1.0070717123117787
0.9,3,3,1.0057302502072862
0.3,4,1,1.2639462684385006
0.3,4,2,1.1287169137021749
0.3,4,3,1.0875749364080565
0.5,4,1,1.4100548324916642
0.5,4,2,1.0010627218001478
0.5,4,3,1.0016237314157421
0.7,4,1,1.4587292825149583
0.7,4,2,0.997448790506211
0.7,4,3,0.9982834534319942
0.9,4,1,1.3047158513819608
0.9,4,2,1.0008632982410899
0.9,4,3,0.999618305337089
