arm,c,seed,t6_rho,t12_rho,t24_rho,t48_rho
frac,0.3,0,1.3213078064212505,1.2989372215269173,1.294373606924721,1.2954909771040666
frac,0.3,1,1.0982200447328188,1.0921748917881215,1.0981899068363417,1.1044370353321122
frac,0.3,2,1.5969300458291982,1.556549861644475,1.5514544780394068,1.5560099983403173
frac,0.3,3,1.5737816717346464,1.5323192521312459,1.52493013556766,1.527201875787902
frac,0.3,4,1.1401123967873734,1.1549865495301432,1.1688038689405353,1.1811345464554286
frac,0.5,0,1.3254885740011595,1.2777005466844908,1.2690877872927389,1.2678200928052425
frac,0.5,1,1.4214927461579674,1.3687753675491101,1.358690432320028,1.3557416471045851
frac,0.5,2,2.407738967378684,2.195520849075332,2.1509206891265436,2.1332017141626483
frac,0.5,3,1.3455195770205526,1.2819711820135904,1.2745048306719944,1.274091529597932
frac,0.5,4,1.2074790588982705,1.1847453092459395,1.1897372876335153,1.1984604655566997
frac,0.7,0,1.6364857731459448,1.5320165488932784,1.5167963327269272,1.5110260834191778
frac,0.7,1,1.5112989126938796,1.4080111594108577,1.3946894805833696,1.390628830527111
frac,0.7,2,2.643838281061563,2.1822302384372447,2.1312246100518326,2.1114394833335375
frac,0.7,3,1.5636021067872108,1.3993012789846209,1.385204778936469,1.3807672100857764
frac,0.7,4,1.9703186144670064,1.668068484092129,1.6359109156813068,1.6267277485848894
frac,0.9,0,1.8220980947658112,1.4897136308984376,1.4818167270907372,1.4836858126008408
frac,0.9,1,1.9785312631898335,1.5734957857565484,1.54526206184451,1.5335686818338496
frac,0.9,2,3.8468876860846946,2.65851285330238,2.5912290672995093,2.567997299289752
frac,0.9,3,3.476201970800383,1.788461469879283,1.735831531898017,1.7102207128022362
frac,0.9,4,3.2783186825969817,2.275576900594219,2.2156045126616464,2.1937823877117304
v1tok,0.3,0,1.156965266697042,1.1407345275395377,1.1370960288004843,1.1356255244999534
v1tok,0.3,1,1.0838365352271149,1.0676280602302255,1.0687238210580263,1.0688197071853143
v1tok,0.3,2,1.2843147387903688,1.2775533911459769,1.2773645478164295,1.2769499210213286
v1tok,0.3,3,1.1963484839351743,1.1712917311877415,1.163396669883924,1.1575404277389698
v1tok,0.3,4,1.0796234433118999,1.0612544620122422,1.0630705285961481,1.0634333494759916
v1tok,0.5,0,1.3356825037243818,1.289905137180372,1.285264806730553,1.281989329369952
v1tok,0.5,1,1.247242130461073,1.1845274133956725,1.1797245224766368,1.176101608289636
v1tok,0.5,2,1.511980263901589,1.5081804614903458,1.5253149029658286,1.5343425947391207
v1tok,0.5,3,1.5277495535609087,1.4920257101674732,1.4932509840887516,1.4920077106714507
v1tok,0.5,4,1.2883756402689057,1.2441863506867037,1.239054863710371,1.235742134328736
v1tok,0.7,0,1.5849215429786259,1.3771875754047707,1.3416537054651663,1.3245085036788047
v1tok,0.7,1,1.5512583205809949,1.2805138422347118,1.2441667504335416,1.227075391881596
v1tok,0.7,2,1.6632442071685718,1.4695251548283121,1.4211646335690835,1.3956092105292908
v1tok,0.7,3,1.5204225715040371,1.2602169603442785,1.180884615380528,1.150367429297857
v1tok,0.7,4,1.5932505104167667,1.4401554740631601,1.413361993942912,1.399494568561237
v1tok,0.9,0,2.1368279159795125,1.5106958898259526,1.4457189718750545,1.4136162334798836
v1tok,0.9,1,1.767941783324245,1.2335108292748957,1.1972619221727019,1.182377022076952
v1tok,0.9,2,3.6024063729498943,2.123330049442229,2.0153930183614808,1.9677790041771464
v1tok,0.9,3,2.2304522614269526,1.5593052188733356,1.4955009197518065,1.464703957398593
v1tok,0.9,4,2.7052100314227676,1.7677812490921303,1.688529953184288,1.648730303174347
