policy,c,seed,d0_eff,d0_fp,br_rho,br_d1eff,ac_rho,ac_d1eff,patient_rho,patient_d1eff
grim,0.95,0,1.0,0.0,0.9990234374999999,1.0,1.840336175189717,0.05949996948242187,1.7610416080704523,0.9780681610107422
grim,0.95,1,1.0,0.0,1.757454467634867,0.9775486755371093,1.8403361668360239,0.05949996948242187,1.761041608070452,0.9780682373046875
grim,0.95,2,1.0,0.0,1.7578715984448936,0.9784022521972656,1.8403361760538917,0.05949996948242187,1.0006640624999998,1.0
grim,0.95,3,1.0,0.0,1.7540216862683868,0.9797380828857422,1.840336170004666,0.05949996948242187,1.001015625,1.0
grim,0.95,4,1.0,0.0,1.0006640624999998,1.0,1.8403361754777752,0.05949996948242187,1.7595814157392888,0.9776971435546875
grim,1.0,0,1.0,0.0,0.9990234374999999,1.0,6.0,0.01,0.9999609374999998,1.0
grim,1.0,1,1.0,0.0,1.0008984374999998,1.0,6.0,0.01,0.9996093749999999,1.0
grim,1.0,2,1.0,0.0,0.9999609374999998,1.0,6.0,0.01,1.0006640624999998,1.0
grim,1.0,3,1.0,0.0,0.9996093749999999,1.0,6.0,0.01,1.001015625,1.0
CAN-deter,0.95,0,0.9967715454101562,0.0033984375,2.1150619691089334,0.8049900817871094,5.361473669177162,0.2349344825744629,2.055548442522249,0.8276268768310547
CAN-v1,0.95,0,0.993876953125,0.0064453125,3.9403219006272665,0.4802460479736328,5.5915772517456315,0.3169832992553711,3.6369623633839643,0.5165390014648438
grim,1.0,4,1.0,0.0,1.0006640624999998,1.0,6.0,0.01,0.9992578124999999,1.0
tft-k,0.95,0,1.0,0.0,0.9990234374999999,1.0,1.840336175189717,0.05949996948242187,0.9999609374999998,1.0
tft-k,0.95,1,1.0,0.0,1.0008984374999998,1.0,1.8403361668360239,0.05949996948242187,1.761041608070452,0.9780682373046875
tft-k,0.95,2,1.0,0.0,1.0000282717541435,0.999814453125,1.8403361760538917,0.05949996948242187,1.0006640624999998,1.0
tft-k,0.95,3,1.0,0.0,1.7541965729969955,0.9797752380371094,1.840336170004666,0.05949996948242187,1.001015625,1.0
tft-k,0.95,4,1.0,0.0,1.0006640624999998,1.0,1.8403361754777752,0.05949996948242187,1.766523785099022,0.9804432678222657
tft-k,1.0,0,1.0,0.0,0.9990234374999999,1.0,6.0,0.01,0.9999609374999998,1.0
tft-k,1.0,1,1.0,0.0,1.0008984374999998,1.0,6.0,0.01,0.9996093749999999,1.0
tft-k,1.0,2,1.0,0.0,1.0000390625,0.9998046875,6.0,0.01,1.0006640624999998,1.0
CAN-deter,0.95,1,0.9963076782226562,0.00388671875,1.3944466737262582,0.9106962585449219,4.156026431517333,0.1055898666381836,1.4032678044389,0.9011591339111328
CAN-v1,0.95,1,0.999814453125,0.0001953125,2.9726034752161246,0.8787821960449219,5.2870980170167705,0.23057418823242187,2.9738682652040778,0.8791532897949219
tft-k,1.0,3,1.0,0.0,0.9996093749999999,1.0,6.0,0.01,1.001015625,1.0
tft-k,1.0,4,1.0,0.0,1.0006640624999998,1.0,6.0,0.01,0.9992578124999999,1.0
CAN-deter,0.95,2,0.9435009002685547,0.05947265625,1.0197518217242827,0.9645234680175782,4.200265111959363,0.11154591560363769,1.4160766563862666,0.8906201171875
CAN-v1,0.95,2,0.9729658508300781,0.02845703125,1.007811695382982,0.9847109985351562,2.653378767741724,0.06718164443969726,1.0080001075580136,0.9848965454101563
CAN-deter,0.95,3,0.9776044464111329,0.02357421875,1.7591956757643386,0.9240185546875,4.97869587167534,0.17134750366210938,1.784829661765738,0.912625961303711
CAN-v1,0.95,3,0.9926524353027344,0.007734375,1.3948717133014048,0.9373778533935547,3.5896094347194376,0.0940673828125,1.373052303998141,0.9549491882324219
CAN-deter,0.95,4,0.9997216796875,0.00029296875,1.5267018605362548,0.9322753143310547,4.032568788868222,0.10132227897644043,1.5292096561096993,0.928935546875
CAN-v1,0.95,4,0.9963447570800781,0.00384765625,1.267537002180216,0.9545409393310547,4.641584233024633,0.14030563354492187,1.2704152030203297,0.9534648132324218
CAN-deter,1.0,0,0.970234375,0.029765625,2.163966589465466,0.77544921875,6.0,0.12740234375,2.02541662840322,0.827890625
CAN-v1,1.0,0,0.9787109375,0.0212890625,2.35349893035436,0.6319921875,6.0,0.2390625,2.1763964543377234,0.6833203125
CAN-deter,1.0,1,0.99876953125,0.00123046875,2.3220535003269616,0.81306640625,6.0,0.24361328125,2.3454105187836194,0.80505859375
CAN-v1,1.0,1,0.99654296875,0.00345703125,2.5668972813853994,0.5578515625,6.0,0.2140234375,2.9651073876563094,0.478828125
CAN-deter,1.0,2,0.99048828125,0.00951171875,1.3814791128392727,0.96111328125,6.0,0.04404296875,1.4007184439017957,0.9494140625
CAN-v1,1.0,2,0.99228515625,0.00771484375,1.4748585212084935,0.91830078125,5.84765625,0.02361328125,1.4813466088510103,0.91712890625
CAN-deter,1.0,3,0.995546875,0.004453125,1.755348616264379,0.84765625,6.0,0.1050390625,1.8680922014256622,0.79953125
CAN-v1,1.0,3,0.99255859375,0.00744140625,1.5300707422542377,0.92833984375,6.0,0.022578125,1.5323931765228018,0.92732421875
CAN-deter,1.0,4,0.99759765625,0.00240234375,1.3008736263061165,0.9679296875,6.0,0.07453125,1.300184161585423,0.9682421875
CAN-v1,1.0,4,0.98951171875,0.01048828125,1.2597117857188964,0.951171875,6.0,0.13005859375,1.260639254411858,0.9506640625
