c,seed,method,br_rho
0.3,0,single,1.6587296741220539
0.3,0,population,1.3527152970395493
0.3,1,single,1.393476161496424
0.3,1,population,1.4185593325861832
0.3,2,single,1.2080097404232326
0.3,2,population,1.3628880116914035
0.3,3,single,1.1952306430430022
0.3,3,population,1.456521131195522
0.3,4,single,1.9377346042554833
0.3,4,population,1.8116067018258715
0.5,0,single,1.0029984617188683
0.5,0,population,1.2054943460040453
0.5,1,single,1.935194950068075
0.5,1,population,0.9985955381196432
0.5,2,single,0.9932626750419755
0.5,2,population,1.0016591711447798
0.5,3,single,1.1558772687663321
0.5,3,population,1.2974242271838763
0.5,4,single,0.9911466637317987
0.5,4,population,1.3910826945275272
